,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
20,b'2022-06-26T18:09:16.597Z,2022-06-26T18:09:16.462Z,nu.web,page_view,article,6208314,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Sint-Andries,BE,VWV,West Flanders Province,Europe/Brussels,8200,https://lm.facebook.com/,Grootste bacterie ooit ontdekt: \'Als een mens ter grootte van Mount Everest\' | Wetenschap | NU.nl,www.nu.nl,/wetenschap/6208314/grootste-bacterie-ooit-ontdekt-als-een-mens-ter-grootte-van-mount-everest.html,web,social,Facebook,lm.facebook.com,"""""",a252b3f19daf09963f19c84a7db22a16,"""""","""""",7299da0aae65c28bd53c523dff21d3dd,6dd217741e22218876be6ba920d46fa2\n',,
21,b'2022-06-26T01:15:16.889Z,2022-06-26T01:15:16.345Z,nu.web,page_view,article,6208661,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Voorburg,NL,ZH,South Holland,Europe/Amsterdam,2274,https://www.nu.nl/binnenland/6208663/dode-en-zes-gewonden-door-ongeluk-op-de-a58-bij-chaam.html,Apenpokken volgens WHO nu geen \'noodsituatie van internationaal belang\' | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/buitenland/6208661/apenpokken-volgens-who-nu-geen-noodsituatie-van-internationaal-belang.html,web,internal,"""""",www.nu.nl,null,7d24790ddddb4151e5fbbaee6ace412b,"""""","""""",8c13cc4a28ecc9c95f94ecfa60142383,cd8380642bc69600041ca1693fcd0d12\n',,
22,b'2022-06-26T08:49:31.766Z,2022-06-26T08:49:31.233Z,nu.web,page_view,article,6208657,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Hoogkarspel,NL,NH,North Holland,Europe/Amsterdam,1616,https://www.google.com/,Van Duijvenbode hard onderuit tegen Van den Bergh in finale Dutch Darts Masters | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/darts/6208657/van-duijvenbode-hard-onderuit-tegen-van-den-bergh-in-finale-dutch-darts-masters.html,web,search,Google,www.google.com,null,d88d81a576470bfb56346a7e8c6d490d,"""""","""""",cad5fba5fd7efd84721d8a95a529de77,389f751bef62c5058e6fa521b5ea375b\n',,
23,b'2022-06-26T05:29:13.883Z,2022-06-26T05:29:15.319Z,nu.web,page_view,article,6208666,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Grootebroek,NL,NH,North Holland,Europe/Amsterdam,1613,https://www.nu.nl/,Russen: evacuatie Severodonetsk gestopt vanwege Oekra\xc3\xafense beschietingen | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/spanningen-oekraine/6208666/russen-evacuatie-severodonetsk-gestopt-vanwege-oekraiense-beschietingen.html,web,internal,"""""",www.nu.nl,null,22c1f24633d4e07f9a3a7d49678b9a40,"""""","""""",6a19cf6a2533d3c8e5b7266434300091,70364696abbbba369f756e2b37e3f81e\n',,
24,b'2022-06-26T08:49:32.023Z,2022-06-26T08:49:35.735Z,nu.web,page_view,article,6208687,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Dunakeszi,HU,PE,Pest megye,Europe/Budapest,2120,https://www.nu.nl/,Bol ziet concurrent McLaughlin wereldrecord 400 meter horden aanscherpen | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/sport-overig/6208687/bol-ziet-concurrent-mclaughlin-wereldrecord-400-meter-horden-aanscherpen.html,web,internal,"""""",www.nu.nl,null,29bc41f698e6a159763cf0f7a3e4a3c2,"""""","""""",14fb8d8767a345a1a10f6e0b9ea1ed1f,aaf81dfed2b53a5ff8b641fcda3cbbb1\n',,
25,b'2022-06-26T11:45:06.645Z,2022-06-26T11:45:06.398Z,nu.web,page_view,article,6208559,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Haarlem,NL,NH,North Holland,Europe/Amsterdam,2023,https://www.google.com,Politie signaleert honderden \'verdachte transacties\' rondom vakantieparken | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/economie/6208559/politie-signaleert-honderden-verdachte-transacties-rondom-vakantieparken.html,web,search,Google,www.google.com,null,null,"""""","""""",699442d37e6e995b6690a208a86814cd,4110f4eabf0114e650508af489a77320\n',,
26,b'2022-06-26T14:59:57.741Z,2022-06-26T14:59:56.965Z,nu.web,page_view,article,6208677,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Alphen aan den Rijn,NL,ZH,South Holland,Europe/Amsterdam,2405,http://m.facebook.com/,Kyiv onder vuur genomen met kruisraketten: \xc3\xa9\xc3\xa9n dode en zeker zes gewonden | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/spanningen-oekraine/6208677/kyiv-onder-vuur-genomen-met-kruisraketten-een-dode-en-zeker-zes-gewonden.html,web,social,Facebook,m.facebook.com,null,null,"""""","""""",23a22d03bd65e459eac32b1610d760c0,a371c2295105cb11c9ddcadfe828621f\n',,
27,b'2022-06-26T14:50:17.014Z,2022-06-26T14:50:16.948Z,nu.web,page_view,article,6208678,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Alkmaar,NL,NH,North Holland,Europe/Amsterdam,1811,https://www.nu.nl/,"""VK", VS," Japan en Canada kondigen importverbod aan op Russisch goud | NU - Het laatste nieuws het eerst op NU.nl""",www.nu.nl,/economie/6208678/vk-vs-japan-en-canada-kondigen-importverbod-aan-op-russisch-goud.html,web,internal,"""""",www.nu.nl,null,null,"""""","""""",84376916c42777903fb22499c4b129fc,254cd6ab5f1bbcca9ba7339e74be88e9\n'
28,b'2022-06-26T09:13:46.105Z,2022-06-26T09:13:45.884Z,nu.web,page_view,article,6208677,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Eindhoven,NL,NB,North Brabant,Europe/Amsterdam,5646,https://www.nu.nl/,Kyiv en andere Oekra\xc3\xafense plaatsen getroffen door kruisraketten | NU - Het laatste nieuws het eerst op NU.nl,www.nu.nl,/spanningen-oekraine/6208677/kyiv-en-andere-oekraiense-plaatsen-getroffen-door-kruisraketten.html,web,internal,"""""",www.nu.nl,null,a030664fe6cf6b6e2eb438eeb6bafe1b,"""""","""""",26c76ceef2a4fd90b55181106f624e1e,7efa4e9e42b039bc820b92cac3c64aab\n',,
29,b'2022-06-26T15:00:01.167Z,2022-06-26T14:59:58.617Z,nu.web,page_view,article,6208665,functional|analytics|targeted_advertising|non-personalised_ads|personalisation|marketing|social_media|advertising_1|advertising_2|advertising_3|advertising_4|advertising_7|advertising_9|advertising_10,Zwolle,NL,OV,Overijssel,Europe/Amsterdam,8023,https://www.google.com/,"""Weerbericht: Veel regen"," in het westen blijft het droog | NU - Het laatste nieuws het eerst op NU.nl""",www.nu.nl,/binnenland/6208665/weerbericht-veel-regen-in-het-westen-blijft-het-droog.html,web,search,Google,www.google.com,null,3544a8d8341ac75383286710eba58b10,"""""","""""",8a9794e3f20ba5f0d93de8d527e7ea41,9cd01bf67aa9a379fdf865a9b59304b8\n',
